Item Type,Product ID,Product Name,Product Type,Product Code/SKU,Bin Picking Number,Brand Name,Option Set,Option Set Align,Product Description,Price,Cost Price,Retail Price,Sale Price,Fixed Shipping Cost,Free Shipping,Product Warranty,Product Weight,Product Width,Product Height,Product Depth,Allow Purchases?,Product Visible?,Product Availability,Track Inventory,Current Stock Level,Low Stock Level,Category,Product File - 1,Product File Description - 1,Product File Max Downloads - 1,Product File Expires After - 1,Product Image ID - 1,Product Image File - 1,Product Image Description - 1,Product Image Is Thumbnail - 1,Product Image Sort - 1,Product Image ID - 2,Product Image File - 2,Product Image Description - 2,Product Image Is Thumbnail - 2,Product Image Sort - 2,Product Image ID - 3,Product Image File - 3,Product Image Description - 3,Product Image Is Thumbnail - 3,Product Image Sort - 3,Search Keywords,Page Title,Meta Keywords,Meta Description,MYOB Asset Acct,MYOB Income Acct,MYOB Expense Acct,Product Condition,Event Date Required?,Event Date Name,Event Date Is Limited?,Event Date Start Date,Event Date End Date,Sort Order,Product Tax Class,Product UPC/EAN,Stop Processing Rules,Product URL,Redirect Old URL?,GPS Global Trade Item Number,GPS Manufacturer Part Number,GPS Gender,GPS Age Group,GPS Color,GPS Size,GPS Material,GPS Pattern,GPS Item Group ID,GPS Category,GPS Enabled,Avalara Product Tax Code,Product Custom Fields
Product,55,350 Bow Tie Sportsman Block,P,12480174,1,Chevrolet Performance,,Right,"<p><strong>350 Bowtie Sportsman Block, 1-Piece Rear Main Seal</strong></p> <ul> <li>CNC-machined cast-iron competition block</li> <li>+/-0.001"" machining tolerances</li> <li>4-bolt nodular mains, splayed caps on center 3 mains</li> <li>3.980"" finished bore</li> <li>4.155"" max bore (siamese cylinder bores)</li> <li>Extra smooth gasket surfaces for better seal</li> <li>Tall lifter bores</li> <li>Comes with rear seal adapter</li> </ul> <p>Part Number:&nbsp;12480174<br />Cast Number:&nbsp;10051184<br />Deck Height:&nbsp;9.025""<br />Lifter Pattern:&nbsp;Std<br />Cyl Wall:&nbsp;Siamese<br />Bore Range:&nbsp;3.980"" &ndash; 4.155""<br />Main Bolt:&nbsp;4<br />Main Bolt Degree:&nbsp;20&deg;<br />Cap Material:&nbsp;Nodular<br />Crank Jnl Size:&nbsp;350<br />Oiling:&nbsp;Wet<br />Seal Type:&nbsp;1 pc<br />Max Stroke:&nbsp;3.750""<br />Weight (lbs):&nbsp;196<br />Max HP:&nbsp;500<br />Usage:&nbsp;Amateur</p>","2,329.17",2300.41,"2,746.66",0,0,N,,112.4,28,17,19,Y,Y,Y,none,0,0,Small-Block Crate Engines & Components/Small Block Engine Components/Blocks & Components/Bowtie Sportsman Blocks;Small-Block Crate Engines & Components/Small Block Engine Components/Blocks & Components/Bowtie Sportsman Blocks/4-Bolt 350 Main Blocks,,,,,1942,v/611/mrXvL4lBy0qdStiscnrgE3g__36810.jpg,,Y,0,,,,,,,,,,,,,,,,,,New,N,Delivery Date,N,0,0,2,Default Tax Class,,N,/350-bow-tie-sportsman-block/12480174,,,,,,,,,,,,N,,
Product,56,SEPARATOR ASM-PCV OIL,P,12653073,1,Camaro,,Right,"<p>Camaro 1LE PCV System<br />12653073<br />Crankcase ventilation system designed for the track-oriented Camaro 1LE&nbsp;package, designed for excellent oil separation and crankcase return during&nbsp;high-performance driving and high-load cornering. Simple catch-can-type&nbsp;design screws into oil-fill port in the rocker cover of V-8 and V-6 models.</p>",150.32,148.46,177.27,0,0,N,,1.1,2.8,1.7,3.6,Y,Y,Y,none,0,0,Camaro Performance Upgrades/Engine Block and Components,,,,,736,r/888/12653073__79804.jpg,,Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/separator-asm-pcv-oil/12653073,,,,,,,,,,,,N,,
Product,57,"SHIFTER KIT, CPP ZL1 6 SPD MAN",P,19299460,1,Camaro,,Right,"<p>Camaro Short-Throw Suede-Wrapped Shifter Kit<br />19299460<br />Get quicker, more precise shifts in your manual-transmission Camaro SS with&nbsp;Chevrolet Performance&rsquo;s Camaro ZL1 shifter kit. This is the same shifter used in&nbsp;the production ZL1, which delivers shorter shifts than the shifter in the SS. The&nbsp;kit includes the shifter, installation hardware and a sueded microfiber shift knob&nbsp;with contrast stitching.</p>",322.49,318.51,380.30,0,0,N,,3.07,11,6.9,16.9,Y,Y,Y,none,0,0,Camaro Performance Upgrades/Engine Block and Components,,,,,264,z/389/19299460__25646.jpg,"SHIFTER KIT, CPP ZL1 6 SPD MAN",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/shifter-kit-cpp-zl1-6-spd-man/19299460,,,,,,,,,,,,N,,
Product,58,"PERFORMANCE PKG,H/PRF (LS7 CAM/CNC LS3 HEADS)",P,19300535,1,Camaro,,Right,"<p>LS3<br />High-Performance Heads-and-Cam Kit*<br />19300535<br />Increase the power of the LS3 engine in your C6 LS3 Corvette to 470+ hp&nbsp;and 440 lb.-ft. of torque with Chevrolet Performance's high-performance&nbsp;heads-and-cam kit. Developed by Chevrolet Performance engineers as a&nbsp;direct replacement for the factory-installed heads and camshaft (tuning&nbsp;required), with 276cc intake runners and 2.165""/1.2590"" valves. The high-lift&nbsp;camshaft makes the most of the heads' generous airflow attributes, with&nbsp;.591""/.591"" lift and 211&deg;/230&deg; duration @.05"" and a 121&deg; lobe separation angle.&nbsp;This kit fits other LS-family engines with at least 4"" bores. Contents include&nbsp;the camshaft and fully assembled cylinder heads. Head gaskets and cylinder&nbsp;head bolts must be purchased separately.</p>","1,523.00",1504.19,"1,795.98",0,0,N,,0.99,10.3,0.08,26.3,Y,Y,Y,none,0,0,Camaro Performance Upgrades/Engine Block and Components;Corvette Performance Upgrades /Engine Blocks and Components,,,,,265,n/700/19300535__17667.jpg,"PERFORMANCE PKG,H/PRF (LS7 CAM/CNC LS3 HEADS)",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/performance-pkg-h-prf-ls7-cam-cnc-ls3-heads/19300535,,,,,,,,,,,,N,,
Product,59,"GEAR SET,DIFF RING & DRV PINION",P,19301504,1,Camaro,,Right,"<p>Camaro 1LE 3.91 Gear Kit<br />19301504<br />This lower (higher numerically) ratio rear drive gear will increase effective&nbsp;rear wheel torque multiplication in 2010 - 2013 SS Camaros by 13%&nbsp;(over standard 3.45 ratio) in a manual transmission-equipped car, and 20%&nbsp;(over standard 3.27) in an automatic-equipped car. This gearset is the original&nbsp;equipment ratio found in the 1LE 2013 Camaro package.<br />NOTE: This change will affect the indicated vehicle speed. Recalibration is&nbsp;required for accurate speedometer reading.<br />The kit includes:<br />Part number DETAIL QTY<br />22813040 Gear Kit (shown) 1<br />92230403 Gasket 1<br />92230584 Oil Seal 1<br />90538867 Nut 3<br />92138569 Bolt 3<br />92139104 Bolt 3<br />92230606 Shim Kit 1<br />88900330 Limited Slip differential Oil Additive 1<br />19301909 Label Altered Vehicle Cert. 1<br />19301503 Instruction Sheet 1</p>",394.09,405,464.72,0,0,N,,12,13.3,11,14.5,Y,Y,Y,none,0,0,Camaro Performance Upgrades/Component Kits,,,,,266,b/157/19301504__40890.jpg,"GEAR SET,DIFF RING & DRV PINION",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/gear-set-diff-ring-drv-pinion/19301504,,,,,,,,,,,,N,,
Product,60,"AXLE KIT,RR <SEE GUIDE/BFO>",P,22959395,1,Camaro,,Right,"<p>Camaro ZL1 HD Driveline Kit &ndash;<br />Automatic Transmission<br />22959395</p> <p>If you're building an ultimate-performance 2010-and-later Camaro, Chevrolet&nbsp;Performance's Camaro ZL1 Driveline Kit delivers the strength required to put&nbsp;big power to the pavement. This kit features the specialty components from&nbsp;the production Camaro ZL1, including a larger, stronger 9.9-inch cast iron&nbsp;differential housing, stronger axles and heavy-duty limited-slip differential.&nbsp;This patent-pending system is designed to ensure that ZL1's tremendous&nbsp;power is delivered smoothly to the ground. A rear-differential cooler is incorporated&nbsp;and reduces temperatures in the differential by more than 100&deg; F (fluid&nbsp;lines must be installed). Asymmetrical half-shafts &ndash; a 60mm hollow shaft on&nbsp;the right and a 33mm solid shaft on the left &ndash; offer different torsional stiffness&nbsp;rates, which work with the limited-slip differential to minimize the chance of&nbsp;wheel hop on hard launches. Also included is a stronger ZL1 prop shaft.</p> <p>Automatic system includes:<br />Part number DETAIL QTY<br />22960156 Propshaft 1<br />20931134 RDM 1<br />22960153 RDM Plug/cap 2<br />22953760 LH Halfshaft 1<br />22953759 RH Halfshaft 1<br />24256909 Trans Flange 1<br />24256278 Trans Flange Nut 1<br />22960155 I-Sheet 1<br />11611234 Driveshaft Nut 2<br />11611965 Driveshaft Washer 2<br />11611335 Prop to Trans Bolt 3<br />11611365 Prop to Trans Nut 3<br />11611336 Prop to RDM Bolt 3<br />11515758 Prop to Frame Bolt 2<br />11516878 RDM to Crade Bolt 3<br />11516078 RDM to Crade Nut 3<br />22942442 Chevrolet Perf. Badge 1</p>","4,335.93",4500,"5,113.12",0,0,N,,224.88,4.8,4.7,11,Y,Y,Y,none,0,0,Camaro Performance Upgrades/Component Kits,,,,,735,k/695/22959395__70610.jpg,,Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/axle-kit-rr-see-guide-bfo/22959395,,,,,,,,,,,,N,,
Product,61,"HEAD,CYL, COPO CAMARO, BARE",P,17802804,1,COPO Camaro,,Right,"<p>17802804<br />COPO LS7 CNC Head<br />All the same high-flow attributes as the assembled head described&nbsp;above, but delivered unassembled. Valves and valvetrain components&nbsp;must be purchased separately.<br />NOTE: All COPO 350 and 396 racing cylinder heads are built with the&nbsp;same &ldquo;Max-life&rdquo; valve springs and hardened spring seats as the 327S/C&nbsp;and the 427 N/A, plus, they include light-weight hollow-stem LS3 intake&nbsp;valves and light-weight LS9 hollow-stem exhaust valves.</p>","1,677.80",1661.18,"1,978.54",0,0,N,,32.31,9.75,6.5,23.5,Y,Y,Y,none,0,0,COPO Camaro Program/COPO Engine Blocks & Components,,,,,267,a/983/17802804__46420.jpg,"HEAD,CYL, COPO CAMARO, BARE",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/head-cyl-copo-camaro-bare/17802804,,,,,,,,,,,,N,,
Product,62,"MANIFOLD,INT KIT COPO CAMARO 427",P,17802810,1,COPO Camaro,,Right,<p>17802810<br />COPO 427/425 Intake</p> <ul> <li>The COPO race-only intake manifold is a Holley Hi-Ram with&nbsp;a throttle body and fuel rails</li> <li>COPO logo engraved on throttle body (see inset)</li> <li>COPO 350/325 and 396/375 P/N19301195</li> </ul>,"1,234.72",1222.5,"1,456.03",0,0,N,,3.01,17.2,14.9,27.4,Y,Y,Y,none,0,0,COPO Camaro Program/COPO Engine Blocks & Components,,,,,734,f/832/17802810__64577.jpg,,Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/manifold-int-kit-copo-camaro-427/17802810,,,,,,,,,,,,N,,
Product,63,"HEAD ASM,CYL (W/ VLV) COPO CAMARO",P,17802818,1,COPO Camaro,,Right,"<p>17802818<br />COPO LS7 CNC Head Assembly<br />The high-revving horsepower of the COPO 427 racing engines is&nbsp;enabled by the high-flow LS7 CNC cylinder head, which features a 12-degree&nbsp;valve angle for efficient airflow at high rpm. The head is fully CNC&nbsp;machined and the 356-T6 aluminum casting features 275cc (nominal)&nbsp;intake ports, 90cc exhaust ports and 70cc combustion chambers. There&rsquo;s&nbsp;also a thick, 5/8&rdquo; deck for exceptional (nominal) strength. The assembled&nbsp;head includes:</p> <ul> <li>2.205"" titanium intake valves</li> <li>1.615"" sodium-filled exhaust valves</li> <li>Max-Life Beehive-type valve springs</li> <li>Valve retainers and locks</li> <li>Intake and exhaust stem seals</li> <li>Intake lash cap</li> </ul>","2,704.54",2671.15,"3,189.32",0,0,N,,32.31,9.7,6.4,23.9,Y,Y,Y,none,0,0,COPO Camaro Program/COPO Engine Blocks & Components,,,,,268,q/780/17802818__95236.jpg,"HEAD ASM,CYL (W/ VLV) COPO CAMARO",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/head-asm-cyl-w-vlv-copo-camaro/17802818,,,,,,,,,,,,N,,
Product,64,"ENGINE ASM, COPO CAMARO 427 NA",P,17802825,1,COPO Camaro,,Right,<p><strong>Copo 427&nbsp;425 HP<br /></strong>The COPO 427 uses the large-bore cylinder block and high-flow&nbsp;cylinder heads of the LS7 engine and complements them with&nbsp;a high-compression rotating assembly to deliver big power&nbsp;from its large displacement. Its lightweight aluminum block&nbsp;and heads revive the spirit of the original ZL1 all-aluminum&nbsp;427 big-block that helped forge the COPO legacy in 1969.</p> <p><strong>427 TECH&nbsp;SPECS</strong><br />Displacement: 427 cu in (7.0L)<br />Compression Ratio: 13.5:1<br />Cylinder Block: LS7 Cast Aluminum<br />Bore x Stroke (in): 4.125 x 4.000<br />Crankshaft: Forged Steel<br />Connecting Rods: Forged Steel<br />Pistons: Forged Dome<br />Cylinder Heads: LS7 Aluminum<br />Induction: Natural<br />Intake Manifold: Holley Hi-Ram<br />Camshaft Type: Hydraulic Roller<br />Camshaft Lift (int./exh.): .630/.630-inch<br />Camshaft Duration (int./exh.): 233/276 deg. @ .050-inch</p> <p><strong>&nbsp;</strong></p>,"26,682.32",26682.32,"31,465.00",0,0,N,,516.5,31,36,41.8,Y,Y,Y,none,0,0,COPO Camaro Program/COPO Crate Engines,,,,,269,g/725/17802825__97789.jpg,"ENGINE ASM, COPO CAMARO 427 NA",Y,0,,,,,,,,,,,,,,,,,,New,N,,N,0,0,2,Default Tax Class,,N,/engine-asm-copo-camaro-427-na/17802825,,,,,,,,,,,,N,,
